raw_frame_id,raw_filename,frame_number,timestamp,extraction_rate,brightness,contrast,blur_edge_score,perceptual_hash,duplicate_distance,duplicate_of,script_suggestion,script_reason,final_decision,final_reason,final_curated_image_id,final_curated_filename,reviewer,comment
nosferatu_raw_000114,raw_frames/nosferatu_raw_000114.jpg,114,00:18:50,1 frame / 10 sec,34.06,34.348,8.32,606c2e2630211878,27,,review,usable_candidate,kept,,nosferatu_000114,nosferatu_000114.jpg,,
nosferatu_raw_000115,raw_frames/nosferatu_raw_000115.jpg,115,00:19:00,1 frame / 10 sec,33.745,33.145,8.565,606c6e2e30211878,2,nosferatu_raw_000114,remove,near_duplicate,kept,,nosferatu_000115,nosferatu_000115.jpg,,
nosferatu_raw_000117,raw_frames/nosferatu_raw_000117.jpg,117,00:19:20,1 frame / 10 sec,17.878,23.14,4.59,206cccece4700000,11,,remove,black_frame,kept,,nosferatu_000117,nosferatu_000117.jpg,,
nosferatu_raw_000119,raw_frames/nosferatu_raw_000119.jpg,119,00:19:40,1 frame / 10 sec,26.57,33.456,4.496,38383c1c1c180004,13,,review,usable_candidate,kept,,nosferatu_000119,nosferatu_000119.jpg,,
nosferatu_raw_000121,raw_frames/nosferatu_raw_000121.jpg,121,00:20:00,1 frame / 10 sec,21.744,24.562,4.298,1018181c6c20361e,15,,review,usable_candidate,kept,,nosferatu_000121,nosferatu_000121.jpg,,
nosferatu_raw_000122,raw_frames/nosferatu_raw_000122.jpg,122,00:20:10,1 frame / 10 sec,23.672,26.855,4.723,1018181c6c20201e,3,nosferatu_raw_000121,remove,near_duplicate,kept,,nosferatu_000122,nosferatu_000122.jpg,,
nosferatu_raw_000123,raw_frames/nosferatu_raw_000123.jpg,123,00:20:20,1 frame / 10 sec,22.021,23.058,4.438,1818180c7c28261e,6,,review,usable_candidate,kept,,nosferatu_000123,nosferatu_000123.jpg,,
nosferatu_raw_000125,raw_frames/nosferatu_raw_000125.jpg,125,00:20:40,1 frame / 10 sec,35.535,24.442,16.869,003c484e7c7efe60,22,,review,usable_candidate,kept,,nosferatu_000125,nosferatu_000125.jpg,,
nosferatu_raw_000126,raw_frames/nosferatu_raw_000126.jpg,126,00:20:50,1 frame / 10 sec,28.984,24.85,11.37,087a7c63d3dad840,24,,review,usable_candidate,kept,,nosferatu_000126,nosferatu_000126.jpg,,
nosferatu_raw_000127,raw_frames/nosferatu_raw_000127.jpg,127,00:21:00,1 frame / 10 sec,22.152,19.592,5.072,607c3e9491133000,25,,review,usable_candidate,kept,,nosferatu_000127,nosferatu_000127.jpg,,
nosferatu_raw_000129,raw_frames/nosferatu_raw_000129.jpg,129,00:21:20,1 frame / 10 sec,19.715,25.369,5.524,007c6cecf4640000,15,,review,usable_candidate,kept,,nosferatu_000129,nosferatu_000129.jpg,,
nosferatu_raw_000133,raw_frames/nosferatu_raw_000133.jpg,133,00:22:00,1 frame / 10 sec,22.066,20.106,7.054,83a3a3230303e0e0,33,,review,usable_candidate,kept,,nosferatu_000133,nosferatu_000133.jpg,,
nosferatu_raw_000137,raw_frames/nosferatu_raw_000137.jpg,137,00:22:40,1 frame / 10 sec,11.63,12.831,2.09,06363e3c5c404000,15,,remove,black_frame,kept,,nosferatu_000137,nosferatu_000137.jpg,,
nosferatu_raw_000143,raw_frames/nosferatu_raw_000143.jpg,143,00:23:40,1 frame / 10 sec,10.132,13.573,2.831,000078786870f4e0,33,,remove,black_frame,kept,,nosferatu_000143,nosferatu_000143.jpg,,
