image_id,frame_filename,film_title,film_year,source_platform,source_url,license_status,access_date,timestamp,extraction_rate,curation_decision,notes
nosferatu_000117,nosferatu_000117.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:19:20,1 frame / 10 sec,kept,
nosferatu_000119,nosferatu_000119.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:19:40,1 frame / 10 sec,kept,
nosferatu_000121,nosferatu_000121.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:20:00,1 frame / 10 sec,kept,
nosferatu_000122,nosferatu_000122.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:20:10,1 frame / 10 sec,kept,
nosferatu_000123,nosferatu_000123.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:20:20,1 frame / 10 sec,kept,
nosferatu_000125,nosferatu_000125.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:20:40,1 frame / 10 sec,kept,
nosferatu_000126,nosferatu_000126.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:20:50,1 frame / 10 sec,kept,
nosferatu_000127,nosferatu_000127.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:21:00,1 frame / 10 sec,kept,
nosferatu_000129,nosferatu_000129.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:21:20,1 frame / 10 sec,kept,
nosferatu_000133,nosferatu_000133.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:22:00,1 frame / 10 sec,kept,
nosferatu_000137,nosferatu_000137.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:22:40,1 frame / 10 sec,kept,
nosferatu_000143,nosferatu_000143.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:23:40,1 frame / 10 sec,kept,
nosferatu_000148,nosferatu_000148.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:24:30,1 frame / 10 sec,kept,
nosferatu_000151,nosferatu_000151.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:25:00,1 frame / 10 sec,kept,
nosferatu_000154,nosferatu_000154.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:25:30,1 frame / 10 sec,kept,
nosferatu_000156,nosferatu_000156.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:25:50,1 frame / 10 sec,kept,
nosferatu_000159,nosferatu_000159.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:26:20,1 frame / 10 sec,kept,
nosferatu_000162,nosferatu_000162.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:26:50,1 frame / 10 sec,kept,
nosferatu_000164,nosferatu_000164.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:27:10,1 frame / 10 sec,kept,
nosferatu_000167,nosferatu_000167.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:27:40,1 frame / 10 sec,kept,
nosferatu_000169,nosferatu_000169.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:28:00,1 frame / 10 sec,kept,
nosferatu_000173,nosferatu_000173.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:28:40,1 frame / 10 sec,kept,
